caseid_new	weight1	weight2	ppage	ppagecat	ppagect4	ppeduc	ppeducat	ppethm	ppgender	pphhhead	pphouseholdsize	pphouse	ppincimp	hhinc	ppmarit	ppmsacat	ppreg4	ppreg9	pprent	ppt01	ppt1317	ppt18ov	ppt25	ppt612	children_in_hh	ppwork	ppnet	ppq14arace	pphispan	pprace_white	pprace_black	pprace_nativeamerican	pprace_asianindian	pprace_chinese	pprace_filipino	pprace_japanese	pprace_korean	pprace_vietnamese	pprace_otherasian	pprace_hawaiian	pprace_guamanian	pprace_samoan	pprace_otherpacificislander	pprace_someotherrace	papglb_friend	pppartyid3	papevangelical	papreligion	ppppcmdate_yrmo	pppadate_yrmo	pphhcomp11_member2_age	pphhcomp11_member3_age	pphhcomp11_member4_age	pphhcomp11_member5_age	pphhcomp11_member6_age	pphhcomp11_member7_age	pphhcomp11_member8_age	pphhcomp11_member9_age	pphhcomp11_member10_age	pphhcomp11_member11_age	pphhcomp11_member12_age	pphhcomp11_member13_age	pphhcomp11_member14_age	pphhcomp11_member15_age	pphhcomp11_member2_gender	pphhcomp11_member3_gender	pphhcomp11_member4_gender	pphhcomp11_member5_gender	pphhcomp11_member6_gender	pphhcomp11_member7_gender	pphhcomp11_member8_gender	pphhcomp11_member9_gender	pphhcomp11_member10_gender	pphhcomp11_member11_gender	pphhcomp11_member12_gender	pphhcomp11_member13_gender	pphhcomp11_member14_gender	pphhcomp11_member15_gender	pphhcomp11_member2_relationship	pphhcomp11_member3_relationship	pphhcomp11_member4_relationship	pphhcomp11_member5_relationship	pphhcomp11_member6_relationship	pphhcomp11_member7_relationship	pphhcomp11_member8_relationship	pphhcomp11_member9_relationship	pphhcomp11_member10_relationship	pphhcomp11_member11_relationship	pphhcomp11_member12_relationship	pphhcomp11_member13_relationship	pphhcomp11_member14_relationship	pphhcomp11_member15_relationship	irb_consent	weight3	weight4	weight5	weight6	weight7	weight_couples_coresident	HCMST_main_interview_yrmo	duration	qflag	glbstatus	papglb_status	recsource	s1	s1a	s2	q3_codes	q4	q5	q6a	q6b	q7a	q7b	q8a	q8b	q9	q10	q11	q12	q13a	q13b	q14	q15a1_compressed	q16	q17a	q17b	q17c	q17d	gender_attraction	q18a_1	q18a_2	q18a_3	q18a_refused	q18b_codes	q18c_codes	q19	q20	q21a	q21a_refusal	q21b	q21b_refusal	q21c	q21c_refusal	q21d	q21d_refusal	q21e	q21e_refusal	q22	q23	q24_codes	q25	q26	q27	q28	q29	q30	q31_1	q31_2	q31_3	q31_4	q31_5	q31_6	q31_7	q31_8	q31_9	q31_other_text_entered	q32	q33_1	q33_2	q33_3	q33_4	q33_5	q33_6	q33_7	q33_other_text_entered	q34	q35_codes	q35_text_entered	q24_met_online	summary_q24_total	q24_R_cowork	q24_R_friend	q24_R_family	q24_R_sig_other	q24_R_neighbor	q24_P_cowork	q24_P_friend	q24_P_family	q24_P_sig_other	q24_P_neighbor	q24_btwn_I_cowork	q24_btwn_I_friend	q24_btwn_I_family	q24_btwn_I_sig_other	q24_btwn_I_neighbor	q24_school	q24_college	q24_military	q24_church	q24_vol_org	q24_customer	q24_bar_restaurant	q24_internet_dating	q24_internet_social_networking	q24_internet_game	q24_internet_chat	q24_internet_community	q24_internet_other	q24_public	q24_private_party	q24_blind_date	q24_vacation	q24_singles_service_non_internet	q24_business_trip	q24_work_neighbor	q24_fam_sister_active	q24_fam_brother_active	q24_fam_mother_active	q24_fam_father_active	q24_fam_other_active	q24_fam_cousins_active	q24_fam_aunt_niece_active	q24_fam_uncle_nephew_active	q24_fam_grandmother_active	q24_fam_grandfather_active	q24_fam_sister_passive	q24_fam_brother_passive	q24_fam_mother_passive	q24_fam_father_passive	q24_fam_other_passive	q24_fam_cousins_passive	q24_fam_aunt_niece_passive	q24_fam_uncle_nephew_passive	q24_fam_grandmother_passive	q24_fam_grandfather_passive	q24_fam_female	q24_fam_male	distancemoved_10mi	marrynotreally	marrycountry	civilnotreally	partner_deceased	partner_religion_reclassified	partner_religion_child_reclass	own_religion_child_reclass	q32_internet	how_met_online	either_internet	either_internet_adjusted	same_sex_couple	potential_partner_gender_recodes	alt_partner_gender	how_long_ago_first_met	how_long_ago_first_romantic	how_long_ago_first_cohab	how_long_ago_first_met_cat	how_long_relationship	respondent_race	partner_race	age_difference	met_through_friends	met_through_family	met_through_as_neighbors	met_through_as_coworkers	respondent_religion_at_16	respondent_relig_16_cat	partner_religion_at_16	partner_relig_16_cat	married	parental_approval	respondent_yrsed	partner_yrsed	home_country_recode	US_raised	partner_mom_yrsed	respondent_mom_yrsed	relationship_quality	coresident	pp2_afterp1	pp2_pphhhead	pp2_pphhsize	pp2_pphouse	pp2_ppincimp	pp2_ppmarit	pp2_ppmsacat	pp2_ppeduc	pp2_ppeducat	pp2_respondent_yrsed	pp2_ppethm	pp2_ppreg4	pp2_ppreg9	pp2_pprent	pp2_ppt01	pp2_ppt1317	pp2_ppt18ov	pp2_ppt25	pp2_ppt612	pp2_ppwork	pp2_ppnet	pp2_ppcmdate_yrmo	pp_igdr1	pp_ieduc1	pp2_igdr2	pp2_ieduc2	w2_deceased	w2_multiname	w2_panelstat	w2_donotcontact	w2_assigned	w2_f1complete	w2_HCMST_interview_fin_yrmo	w2_duration	w2_xmarry	w2_xss	w2_source	w2_q1	w2_q2	w2_q3	w2_q4	w2_q5	w2_q6	w2_q7	w2_q8	w2_q9	w2_q10	w2_broke_up	w2_days_elapsed	pp3_pphhhead	pp3_pphhsize	pp3_pphouse	pp3_ppincimp	pp3_ppmarit	pp3_ppmsacat	pp3_pprent	pp3_ppreg4	pp3_ppreg9	interstate_mover_pp1_pp2	interstate_mover_pp2_pp3	interstate_mover_pp1_pp3	pp3_ppt01	pp3_ppt1317	pp3_ppt18ov	pp3_ppt25	pp3_ppt612	pp3_ppwork	pp3_ppnet	pp3_ppcmdate_yrmo	pp3_ppeduc	pp3_ppeducat	pp3_respondent_yrsed	pp3_ppethm	pp3_newer	w2w3_combo_breakup	w3_broke_up	w3_xpartnered	w3_xdeceased	w3_multiname	w3_xss	w3_xlast	w3_xyear	w3_xmonth	w3_xqualified	w3_status	w3_complete	w3_source	w3_HCMST_interview_fin_yrmo	w3_days_elapsed	w3_duration	w3_xmarry	w3_xtype	w3_q1	w3_q2	w3_q3	w3_q4	w3_mbtiming_year	w3_mbtiming_month	w3_q5	w3_q6	w3_q7	w3_q8	w3_q9	w3_q10	w3_nonmbtiming_year	w3_nonmbtiming_month
22526	4265	4265	52	4	3	12	4	4	2	1	2	3	7	22250	6	1	2	3	2	0	0	2	0	0	0	1	1	-2	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	3	200711	200709	47	 	 	 	 	 	 	 	 	 	 	 	 	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	8	 	 	 	 	 	 	 	 	 	 	 	 	 	1	4265	5618	7505	3576	3576	634.354187	200902	20	1	1	1	2	2	 	1	 	2	1	1	1	2	2	1	 	48	11	9	2	2	2	12	1	0	 	2	4	 	4	0	0	1	0	 	 	1	 	45	 	45	 	45	 	 	 	 	 	 	3	 	2	2	2	2	4	 	0	0	0	1	0	0	0	0	0	0	6	-1	-1	-1	-1	-1	-1	-1	0	2	 	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	 		 	0	 	 	 	1	3	1	1	1	 	2	7	7	7	3	7	6	1	4	0	0	0	0	2	1	2	1	0	 	16	14	 	1	12	16	4	1	1	1	2	3	7	6	1	12	4	16	4	2	3	2	0	0	2	0	0	4	1	200905	0	0	0	0	0	 	2	2	1	1	201003	6	2	1	1	 	 	 	 	1	1	2	1	 	 	0	390	1	2	3	6	6	1	2	2	3	0	0	0	0	0	2	0	0	4	1	201107	12	4	16	4	1	0	0	1	0	 	1	1	2010	3	1	1	1	1	201104	774	2	2	1	 	 	 	 	 	 	1	1	2	1	 	 	 	 
23286	16485	16485	28	2	1	13	4	1	2	1	2	3	11	45000	6	1	4	9	2	0	0	2	0	0	0	1	1	-2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	2	5	200711	200709	29	 	 	 	 	 	 	 	 	 	 	 	 	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	1	16485	8383	11198	10241	10241	9589.90625	200902	13	1	1	1	2	1	 	 	 	2	1	1	1	2	13	2	11	30	12	12	2	2	5	14	1	0	1	 	3	 	3	1	0	0	0	 	 	1	 	19	 	20	 	22	 	23	 	26	 	 	1	 	2	1	2	2	1	3	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	2	 	1	0	4	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2510	0	USA	0	0	 	 	 	0	 	0	0	1	 	2	9	8	6	3	8	1	1	2	1	0	1	0	5	3	11	1	1	0	17	16	 	1	16	20	4	1	1	1	2	3	16	1	1	14	4	20	1	4	9	2	0	0	2	0	0	1	1	200904	0	0	0	0	0	 	2	2	1	1	201003	0	1	2	1	1	1	 	 	 	 	 	 	 	 	0	390	1	2	2	15	6	1	2	4	9	0	0	0	0	0	2	0	0	1	1	201106	14	4	20	1	1	0	0	1	0	 	2	1	2010	3	1	1	1	1	201104	788	0	1	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 
25495	52464	 	49	4	3	9	2	2	2	1	4	3	10	37250	5	1	3	7	2	0	1	1	0	0	1	1	1	-2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	1	200711	200709	22	15	39	 	 	 	 	 	 	 	 	 	 	 	3	2	3	 	 	 	 	 	 	 	 	 	 	 	3	3	7	 	 	 	 	 	 	 	 	 	 	 	1	 	50691	 	 	 	 	200902	0	2	0	2	1	2	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	1	1	 	 	0	 	12	 	 	 	 	 	 	 	1	1	4	3	2	5	1	9	2	12	2	3	7	2	0	1	3	0	0	1	1	200904	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	3	3	1	5	1	2	3	7	0	0	0	0	0	3	0	0	1	1	201106	9	2	12	2	1	 	 	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
26315	4575	4575	31	2	2	11	3	1	1	1	1	3	11	45000	5	1	3	5	1	0	0	2	0	0	0	1	1	-2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	2	12	200710	200709	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	4575	8656	11562	10270	10270	 	200902	9	1	1	1	2	2	 	1	 	1	1	1	1	2	12	2	13	40	9	9	2	1	 	12	1	1	 	1	 	5	5	0	0	1	0	 	 	2	1	23	 	23	 	23	 	 	 	 	 	 	1	 	2	 	2	2	1	1	0	0	0	0	0	0	0	0	1	1	2	0	1	0	0	0	0	0	0	2	 	1	1	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1790	 		 	0	12	 	 	0	2	1	1	1	 	1	8	8	8	3	8	1	1	9	1	0	0	0	12	4	13	5	0	1	14	12	 	1	12	16	4	0	1	1	1	3	11	5	1	11	3	14	1	3	5	1	0	0	1	0	0	1	1	200905	0	0	0	0	0	 	2	2	1	1	201003	13	2	1	1	 	 	 	 	2	 	 	 	1	1	1	391	1	1	3	11	5	1	1	3	5	0	0	0	0	0	1	0	0	1	1	201106	11	3	14	1	1	1	 	2	0	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
27355	12147	 	35	3	2	9	2	1	1	1	2	2	11	45000	5	1	3	5	1	0	0	2	0	0	0	2	1	-2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	11	200710	200709	63	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	5	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	26016	 	 	 	 	200903	1	2	1	3	4	2	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	11	1	 	 	0	 	12	 	 	 	 	 	 	 	1	1	2	2	11	5	1	9	2	12	1	3	5	1	0	0	2	0	0	2	1	200904	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	2	11	5	1	1	3	5	0	0	0	0	0	2	0	0	2	1	201106	9	2	12	1	1	 	 	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
27695	1799	 	69	6	4	10	3	1	1	1	1	3	8	27250	5	1	2	3	2	0	0	1	0	0	0	5	1	-2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	2	2	200711	200709	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	2253	 	1725	 	 	200902	0	2	1	1	2	2	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	2	1	 	 	0	 	13	 	 	 	 	 	 	 	1	1	1	3	8	5	1	10	3	13	1	2	3	2	0	0	1	0	0	1	1	200904	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	3	8	5	1	2	2	3	0	0	0	0	0	1	0	0	5	1	201107	10	3	13	1	1	 	 	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28536	1924	1924	53	4	3	12	4	1	1	1	2	1	17	137250	6	1	2	4	1	0	0	2	0	0	0	1	1	-2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	2	200710	200709	54	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	8	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1924	1748	2335	1517	1517	1280.037231	200902	8	1	1	1	2	2	 	1	 	1	1	1	1	2	13	2	1	55	13	10	2	1	 	13	1	1	 	1	 	4	4	0	0	1	0	 	 	1	 	41	 	41	 	41	 	 	 	 	 	 	1	 	2	2	2	2	3	1	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1	1	2	 	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	 		 	0	 	 	 	0	 	0	0	1	 	1	12	12	12	4	12	1	1	2	0	0	0	0	2	1	1	1	0	1	16	17	 	1	13	17	4	1	1	1	2	1	16	6	1	12	4	16	1	2	4	1	0	0	2	0	0	1	1	200904	0	0	0	0	0	 	1	2	1	1	201003	0	2	1	1	 	 	 	 	1	1	2	1	 	 	0	389	1	2	1	17	6	1	1	2	4	0	0	0	0	0	2	0	0	1	1	201107	12	4	16	1	1	0	0	1	0	 	1	1	2010	3	1	1	1	1	201104	774	0	2	1	 	 	 	 	 	 	1	1	2	1	 	 	 	 
29584	3173	3173	58	5	3	13	4	1	1	1	1	3	6	17250	4	1	3	5	2	0	0	1	0	0	0	1	1	-2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	2	2	200710	200709	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	3173	2812	3756	2630	2630	 	200902	9	1	1	1	2	1	 	 	 	2	2	1	1	2	2	2	3	51	13	10	2	1	 	10	1	0	1	 	 	4	4	 	 	 	 	 	 	2	1	28	 	28	 	30	 	30	 	 	 	 	3	 	2	2	2	2	2	1	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	 	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	 		 	0	 	 	 	0	 	0	0	0	 	2	30	30	28	6	30	1	1	7	0	0	0	1	2	1	3	2	1	1	17	17	 	1	13	13	4	0	1	1	1	3	6	4	1	14	4	20	1	3	5	2	0	0	1	0	0	1	1	200904	0	0	0	0	0	 	1	2	1	1	201003	0	1	2	1	1	2	 	 	 	 	 	 	 	 	0	389	1	1	3	7	4	1	2	3	5	0	0	0	0	0	1	0	0	1	1	201107	13	4	17	1	1	0	0	1	0	 	2	1	2010	3	1	1	1	1	201104	774	0	1	2	1	2	 	 	 	 	 	 	 	 	 	 	 	 
30393	68772	 	39	3	2	9	2	1	1	1	1	3	8	27250	3	1	2	3	2	0	0	1	0	0	0	1	1	-2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	3	200710	200709	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	65803	 	 	 	 	200902	0	2	0	2	1	2	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	3	2	 	 	0	 	12	 	 	 	 	 	 	 	1	1	1	3	8	3	1	9	2	12	1	2	3	2	0	0	1	0	0	1	1	200904	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	3	9	3	1	2	2	3	0	0	0	0	0	1	0	0	1	1	201107	10	3	13	1	1	 	 	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31456	1021	1021	45	4	3	10	3	1	1	1	4	1	14	80000	6	1	3	6	1	0	0	3	0	0	0	1	1	-2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	12	200803	200711	44	21	21	 	 	 	 	 	 	 	 	 	 	 	2	2	2	 	 	 	 	 	 	 	 	 	 	 	8	9	9	 	 	 	 	 	 	 	 	 	 	 	1	1021	1119	1494	1171	1171	679.9365845	200902	8730	1	1	1	2	2	 	1	 	1	1	1	1	2	1	1	 	45	12	9	3	2	1	9	1	8	 	1	 	5	5	0	0	1	0	 	 	1	 	42	 	42	 	42	 	 	 	 	 	7	3	 	2	2	2	2	3	1	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	1	 	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 		 	0	 	 	 	1	3	1	1	1	 	1	3	3	3	2	4	1	1	0	0	0	0	0	1	1	1	1	0	1	13	16	 	1	12	12	5	1	1	1	3	1	13	6	1	10	3	13	1	3	6	1	0	0	3	0	0	1	1	200904	0	0	0	0	0	 	2	2	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	1	0	 	 	2	2009	2	1	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
